Key,English
Objective1,Objective: Kill all gladiators
Objective2,Objective: Help the fallen gladiators
Augustus_greeting1,"Greetings, doctor."
Augustus_greeting2,"I am Augustus, the greatest lanista of Rome. And you are now my new gladiator."
Augustus_greeting3,"Since you have forgotten what has happend the past few days, let me bring you up to date."
Augustus_greeting4,"You were brought here to fight for your life and prove your worth to the emperor. Your past life of being a doctor has ended. Your ""treatment"" has caused the death of many good people."
Augustus_greeting5,"Alright, prepare yourself, tomorrow you will be facing many more gladiators, some of which are far more fierce than you. Good luck, doctor."
Augustus_postfight1_1,"Greetings, doctor."
Augustus_postfight1_2,It seems I have underestimated your fighting capabilities. You did very good for someone who usually helps people. Have you always wanted to kill your patients the same way you did to these gladiators?
Augustus_postfight1_3,No matter! For you aren't a doctor anymore. You must satisfy the emperor and the audience! I have put you into the next fight happening tomorrow.
Augustus_postfight1_4,"If you come back alive from that one, I might just set you up for a fight when the Emperor comes."
Augustus_postfight1_5,Good luck tomorrow.
Augustus_postfight2_1,"Greetings, doctor."
Augustus_postfight2_2,You have truly amazed me. Your fighting skills are unbeatable.
Augustus_postfight2_3,"I have already set you up for the next fight, where the Emperor will be watching. I have bet a lot of money on you just so you know!"
Augustus_postfight2_4,"I am still shocked that you would want to go back to being a doctor, you are doing so well as a fighter."
Augustus_postfight2_5,"But, to respect you for your effort in the past fights, I will give you a choice."
Augustus_postfight2_6,"You can choose to continue this gladiator path, earn your fame, empress the Emperor and the audience."
Augustus_postfight2_7,"Or, you can go back to being a doctor, go help people the same way you always have."
Augustus_postfight2_8,I hope you make the correct decision.
Weaponchoice_axe,Continue as a gladiator and fight for your life
Weaponchoice_stethoscope,Go back to being a doctor and help those in need
Augustus_weaponchoice_axe,I knew you had it in you! Good luck tomorrow. Empress the emperor until your dying breath!
Augustus_weaponchoice_stethoscope,I understand. I hope you don't regret it.
Augustus_axe_ending,"Greetings, warrior."
Dialogue_stethoscope_ending1,Silence spread through the arena.
Dialogue_stethoscope_ending2,Eyes were fixed on the warrior wielding a peculiar tool.
Dialogue_stethoscope_ending3,"The warriors, confused, staring at you."
Dialogue_stethoscope_ending4,"The emperor, furious, holding his gaze on you."
Dialogue_stethoscope_ending5,"Your actions may have been in good faith, but it was not the Roman way."
Dialogue_stethoscope_ending6,You have truly beaten my expectations. Doctor.
Dialogue_stethoscope_ending7,I hoped that we could meet again. But that is practically impossible.
Dialogue_stethoscope_ending8,"Rest in peace, Doctor."
